,name,symbol,current_price,market_cap,circulating_supply,total_supply,max_supply,alltime_high,ath_date
0,Bitcoin,btc,73930.0,1479034380092,20003043.0,20003043.0,21000000.0,126080.0,2025-10-06T18:57:42.558Z
1,Ethereum,eth,2318.03,279844075617,120691856.225145,120691856.225145,,4946.05,2025-08-24T19:21:03.333Z
2,Tether,usdt,1.0,184120055571,184092103149.706,189559041966.2262,,1.32,2018-07-24T00:00:00.000Z
3,XRP,xrp,1.52,92990449114,61227832454.0,99985701766.0,100000000000.0,3.65,2025-07-18T03:40:53.808Z
4,BNB,bnb,668.67,91169357011,136357833.42,136357833.42,200000000.0,1369.99,2025-10-13T08:41:24.131Z
5,USDC,usdc,0.999903,79617224110,79624943581.64253,79625651910.4632,,1.043,2018-11-15T00:00:00.000Z
6,Solana,sol,94.71,54151857122,571447758.0462569,571447764.9763194,,293.31,2025-01-19T11:15:27.957Z
7,TRON,trx,0.306756,29062605171,94750558890.1378,94750828090.85849,,0.431288,2024-12-04T00:10:40.323Z
8,Figure Heloc,figr_heloc,1.032,16345286289,15843541913.347,15843541913.347,,1.049,2026-03-09T17:00:25.937Z
9,Dogecoin,doge,0.100179,15375765843,153452816383.7052,169164573126.5791,,0.731578,2021-05-08T05:08:23.458Z
10,WhiteBIT Coin,wbt,57.87,12351417096,213418274.0,319918274.0,400000000.0,64.11,2025-12-10T20:16:13.582Z
11,USDS,usds,0.999961,11268100882,11268739220.13597,11268739220.13597,,1.057,2024-10-29T05:40:51.197Z
12,Cardano,ada,0.289051,10650847361,36840276194.44106,45000000000.0,45000000000.0,3.09,2021-09-02T06:00:10.474Z
13,Hyperliquid,hype,41.19,9819458255,238385315.9541414,962274028.9541414,1000000000.0,59.3,2025-09-18T03:30:30.650Z
14,Bitcoin Cash,bch,470.96,9422502396,20008643.64665078,20008687.39665078,21000000.0,3785.82,2017-12-20T00:00:00.000Z
15,LEO Token,leo,9.07,8351798040,921095396.9,985239504.0,,10.14,2025-03-10T09:26:43.294Z
16,Chainlink,link,9.8,6939727288,708099970.4525867,1000000000.0,1000000000.0,52.7,2021-05-10T00:13:57.214Z
17,Monero,xmr,368.34,6799825925,18446744.07370955,18446744.07370955,,797.73,2026-01-14T19:34:07.049Z
18,Ethena USDe,usde,0.999915,5920818413,5921319338.987329,5921319338.987329,,1.034,2025-12-09T17:10:12.652Z
19,Stellar,xlm,0.173692,5731224784,32996391672.72817,50001786883.65895,,0.875563,2018-01-03T00:00:00.000Z
