name,symbol,current_price,market_cap,circulating_supply,total_supply,max_supply,alltime_high,ath_date
Bitcoin,BTC,73930.0,1479034380092,20003043,20003043,21000000,126080.0,2025-10-06
Ethereum,ETH,2318.03,279844075617,120691856,120691856,0,4946.05,2025-08-24
Tether,USDT,1.0,184120055571,184092103149,189559041966,0,1.32,2018-07-24
XRP,XRP,1.52,92990449114,61227832454,99985701766,100000000000,3.65,2025-07-18
BNB,BNB,668.67,91169357011,136357833,136357833,200000000,1369.99,2025-10-13
USDC,USDC,0.999903,79617224110,79624943581,79625651910,0,1.043,2018-11-15
Solana,SOL,94.71,54151857122,571447758,571447764,0,293.31,2025-01-19
TRON,TRX,0.306756,29062605171,94750558890,94750828090,0,0.431288,2024-12-04
Figure Heloc,FIGR_HELOC,1.032,16345286289,15843541913,15843541913,0,1.049,2026-03-09
Dogecoin,DOGE,0.100179,15375765843,153452816383,169164573126,0,0.731578,2021-05-08
WhiteBIT Coin,WBT,57.87,12351417096,213418274,319918274,400000000,64.11,2025-12-10
USDS,USDS,0.999961,11268100882,11268739220,11268739220,0,1.057,2024-10-29
Cardano,ADA,0.289051,10650847361,36840276194,45000000000,45000000000,3.09,2021-09-02
Hyperliquid,HYPE,41.19,9819458255,238385315,962274028,1000000000,59.3,2025-09-18
Bitcoin Cash,BCH,470.96,9422502396,20008643,20008687,21000000,3785.82,2017-12-20
LEO Token,LEO,9.07,8351798040,921095396,985239504,0,10.14,2025-03-10
Chainlink,LINK,9.8,6939727288,708099970,1000000000,1000000000,52.7,2021-05-10
Monero,XMR,368.34,6799825925,18446744,18446744,0,797.73,2026-01-14
Ethena USDe,USDE,0.999915,5920818413,5921319338,5921319338,0,1.034,2025-12-09
Stellar,XLM,0.173692,5731224784,32996391672,50001786883,0,0.875563,2018-01-03
