,name,symbol,price,market_cap,circulating_supply,max_supply
0,Bitcoin,BTC,74320.0,1486639471626.0,20003043,21000000
1,Ethereum,ETH,2329.9,281181177168.0,120691856,0
2,Tether,USDT,1.0,184093729851.0,184070904426,0
3,XRP,XRP,1.53,93540833193.0,61227832454,100000000000
4,BNB,BNB,671.35,91535838686.0,136357834,200000000
5,USDC,USDC,0.9999,79616964124.0,79624943581,0
6,Solana,SOL,95.3,54458682375.0,571447789,0
7,TRON,TRX,0.306125,29005549596.0,94750558890,0
8,Figure Heloc,FIGR_HELOC,1.032,16345286289.0,15843541913,0
9,Dogecoin,DOGE,0.100898,15481975873.0,153452256383,0
